No	TMNo	EnNo	Name	INOUT	Mode	DateTime
478	1	6		0	1	2020/01/28 16:02:03
479	1	6		0	1	2020/01/28 16:02:05
480	1	10		0	1	2020/01/28 16:02:05
481	1	10		0	1	2020/01/28 16:02:08
482	1	7		0	1	2020/01/28 16:02:11
483	1	7		0	1	2020/01/28 16:02:13
484	1	11		0	1	2020/01/28 16:02:21
485	1	1		0	1	2020/01/28 16:02:25
486	1	1		0	1	2020/01/28 16:02:28
487	1	2		0	1	2020/01/28 16:02:36
488	1	3		0	1	2020/01/28 16:02:40
489	1	3		0	1	2020/01/28 16:02:40
490	1	9		0	1	2020/01/28 16:02:43
491	1	9		0	1	2020/01/28 16:02:46
492	1	14		0	1	2020/01/28 16:03:41
493	1	8		0	1	2020/01/28 16:05:14
494	1	8		0	1	2020/01/28 16:05:16
495	1	4		0	1	2020/01/28 16:06:53
496	1	2		0	1	2020/01/29 05:38:18
497	1	2		0	1	2020/01/29 05:38:23
498	1	3		0	1	2020/01/29 06:25:18
499	1	3		0	1	2020/01/29 06:25:18
500	1	11		0	1	2020/01/29 06:47:01
501	1	11		0	1	2020/01/29 06:47:01
502	1	11		0	1	2020/01/29 06:47:05
503	1	1		0	1	2020/01/29 06:48:14
504	1	9		0	1	2020/01/29 06:48:19
505	1	9		0	1	2020/01/29 06:48:25
506	1	12		0	1	2020/01/29 06:49:47
507	1	12		0	1	2020/01/29 06:49:51
508	1	7		0	1	2020/01/29 06:52:06
509	1	10		0	1	2020/01/29 06:52:08
510	1	8		0	1	2020/01/29 06:54:25
511	1	8		0	1	2020/01/29 06:54:27
512	1	14		0	1	2020/01/29 06:56:10
513	1	4		0	1	2020/01/29 06:57:01
514	1	13		0	1	2020/01/29 06:57:33
515	1	6		0	1	2020/01/29 06:58:20
516	1	6		0	1	2020/01/29 06:58:20
517	1	5		0	1	2020/01/29 06:58:24
518	1	5		0	1	2020/01/29 06:58:24
519	1	12		0	1	2020/01/29 11:30:09
520	1	12		0	1	2020/01/29 11:30:12
521	1	11		0	1	2020/01/29 11:30:18
522	1	11		0	1	2020/01/29 11:30:18
523	1	2		0	1	2020/01/29 11:30:25
524	1	1		0	1	2020/01/29 11:30:30
525	1	7		0	1	2020/01/29 11:30:33
526	1	10		0	1	2020/01/29 11:30:36
527	1	9		0	1	2020/01/29 11:30:40
528	1	9		0	1	2020/01/29 11:30:40
529	1	9		0	1	2020/01/29 11:30:43
530	1	13		0	1	2020/01/29 11:30:46
531	1	4		0	1	2020/01/29 11:30:51
532	1	6		0	1	2020/01/29 11:31:10
533	1	6		0	1	2020/01/29 11:31:12
534	1	3		0	1	2020/01/29 11:31:14
535	1	3		0	1	2020/01/29 11:31:14
536	1	5		0	1	2020/01/29 11:31:30
537	1	5		0	1	2020/01/29 11:31:32
538	1	14		0	1	2020/01/29 11:31:47
539	1	8		0	1	2020/01/29 11:33:17
540	1	8		0	1	2020/01/29 11:33:17
541	1	12		0	1	2020/01/29 11:47:35
